"prior_set","rep","param","bias","covered"
"current",13,"beta0",-0.0391314248500003,1
"current",13,"beta1",0.3090969460125,1
"current",13,"beta2",-0.144079087772545,1
"current",13,"beta_bm",-0.0772435510055355,1
"current",13,"sigma_y",-0.0396868674437498,1
"current",13,"tau0",-0.050096775635625,1
"current",13,"tau1",-0.0463567634625002,1
"current",13,"gamma0",0.8709132159125,1
"current",13,"gamma1",0.18267200668334,1
"current",13,"gamma2",0.580147925125313,1
"current",13,"alpha",0.26563202889375,1
"current",14,"beta0",-0.03913407675625,1
"current",14,"beta1",0.2743501007625,1
"current",14,"beta2",-0.210615393111041,1
"current",14,"beta_bm",-0.176596378867473,1
"current",14,"sigma_y",0.0268853943687501,1
"current",14,"tau0",-0.392196256245,0
"current",14,"tau1",0.2314071847875,1
"current",14,"gamma0",0.89613127475625,1
"current",14,"gamma1",-0.100518983263835,1
"current",14,"gamma2",0.203878691141875,1
"current",14,"alpha",0.160569905909375,1
"current",15,"beta0",-0.0628992175375003,1
"current",15,"beta1",0.42579013629375,1
"current",15,"beta2",0.0097794316422975,1
"current",15,"beta_bm",-0.101979203067604,1
"current",15,"sigma_y",0.04138354411875,1
"current",15,"tau0",-0.042200306054375,1
"current",15,"tau1",-0.11452477568125,1
"current",15,"gamma0",1.3765845112875,1
"current",15,"gamma1",0.196988183265407,1
"current",15,"gamma2",0.960052655382669,1
"current",15,"alpha",0.43098147645625,0
"current",16,"beta0",-0.3277355184125,1
"current",16,"beta1",0.385777665325,1
"current",16,"beta2",-0.0584759076766563,1
"current",16,"beta_bm",-0.010660419724598,1
"current",16,"sigma_y",-0.00849469053749985,1
"current",16,"tau0",-0.2214560617575,1
"current",16,"tau1",-0.13932562843125,1
"current",16,"gamma0",0.43185655085,1
"current",16,"gamma1",0.355918408061833,1
"current",16,"gamma2",0.959664067493594,1
"current",16,"alpha",0.27110695326875,1
"current",17,"beta0",0.0551352071812499,1
"current",17,"beta1",1.1926494906125,0
"current",17,"beta2",-0.41485051322435,0
"current",17,"beta_bm",-0.273233866450785,1
"current",17,"sigma_y",-0.0593597143812499,1
"current",17,"tau0",-0.17640084022625,1
"current",17,"tau1",0.17633762731875,1
"current",17,"gamma0",0.683887842693751,1
"current",17,"gamma1",0.0801471942360557,1
"current",17,"gamma2",0.987317284913813,1
"current",17,"alpha",0.222861787171875,1
"current",18,"beta0",-0.1356296046,1
"current",18,"beta1",0.29757638166875,1
"current",18,"beta2",-0.269110273547416,1
"current",18,"beta_bm",-0.0998259113011605,1
"current",18,"sigma_y",-0.03414615969375,1
"current",18,"tau0",-0.0694611767762501,1
"current",18,"tau1",-0.0788427928687501,1
