"prior_set","param","prior_mean","prior_sd","post_mean","post_sd","q2.5","q97.5","truth","bias","covered","conflict_sd","sd_ratio","max_rhat"
"current","beta0",-2.5,2,-1.75304763078125,0.235224056650022,-2.2083297075,-1.2946060875,-2.106995541275,0.35394791049375,1,0.373476184609375,0.117612028325011,1.00755529195262
"current","beta1",-1,1,-2.904331755375,0.356482956012374,-3.60495736,-2.192386515,-3.233727302575,0.3293955472,1,1.904331755375,0.356482956012374,1.00755529195262
"current","beta2",0,0.5,0.159550705828656,0.187635946607303,-0.21406691675,0.525444734,0.4546508964202,-0.295100190591544,1,0.319101411657312,0.375271893214605,1.00755529195262
"current","beta_bm",0,1,0.603765435386562,0.181529058205205,0.242187642,0.9616482125,0.680951440993973,-0.0771860056074105,1,0.603765435386562,0.181529058205205,1.00755529195262
"current","sigma_y",1,1,1.631967891,0.0472578790619013,1.542470575,1.7264571925,1.692879175725,-0.060911284725,1,0.631967891,0.0472578790619013,1.00755529195262
"current","tau0",1,1,1.364335252425,0.1480178361559,1.0819197075,1.6558073525,1.371931587795,-0.00759633536999993,1,0.364335252425,0.1480178361559,1.00755529195262
"current","tau1",1,1,2.0121826359375,0.198291026827245,1.6522943575,2.4211293575,2.22407458715,-0.2118919512125,1,1.0121826359375,0.198291026827245,1.00755529195262
"current","gamma0",-2,2,-5.01597057778125,0.856484333228872,-6.7477787075,-3.478788575,-5.684896726225,0.668926148443751,1,1.50798528889062,0.428242166614436,1.00755529195262
"current","gamma1",0,1,-1.38913777243437,0.36306917970231,-2.109292295,-0.70558285,-0.68254500985029,-0.706592762584085,0,1.38913777243437,0.36306917970231,1.00755529195262
"current","gamma2",0,1,-0.343221337405058,0.601596035156315,-1.4914934425,0.82247792025,-2.3245941361325,1.98137279872744,0,0.343221337405058,0.601596035156315,1.00755529195262
"current","alpha",-0.5,0.75,-1.54741763962188,0.218220957140261,-1.9906438375,-1.148466135,-1.77391394685,0.226496307228125,1,1.39655685282917,0.290961276187015,1.00755529195262
"wide2","beta0",-2.5,2,-1.6889204528375,0.247132754331048,-2.16730145,-1.206103765,-2.106995541275,0.4180750884375,1,0.40553977358125,0.123566377165524,1.00849238105649
"wide2","beta1",-1,2,-3.209356360625,0.398157896812505,-3.9826828425,-2.395857335,-3.233727302575,0.02437094195,1,1.1046781803125,0.199078948406252,1.00849238105649
"wide2","beta2",0,1,0.302387096452641,0.205591091867427,-0.10512364725,0.708477671,0.4546508964202,-0.152263799967559,1,0.302387096452641,0.205591091867427,1.00849238105649
