"task_id","scen_id","tag","n","rep","param","post_mean","truth","bias","covered","ci_width","ndiv","ebfmi","rhat_max","comp_fail","dgm_tag","label","truth_defined","ess_min","fit_bad","fit_marginal","ess_tail_min"
"s01_central_n87_r003",1,"central",87,3,"beta2",0.636689990074094,0.5,0.136689990074094,1,0.758485831,0,0.657509034102781,1.00682620737837,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r003",1,"central",87,3,"beta_bm",0.543665172795531,0.61,-0.0663348272044687,1,0.6888540375,0,0.657509034102781,1.00682620737837,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r003",1,"central",87,3,"sigma_y",1.80963933915625,1.81,-0.000360660843750082,1,0.1721736425,0,0.657509034102781,1.00682620737837,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r003",1,"central",87,3,"tau0",0.990252835359375,0.97,0.0202528353593751,1,0.57784534025,0,0.657509034102781,1.00682620737837,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r003",1,"central",87,3,"tau1",1.92967344425,2.2,-0.27032655575,1,0.853685615,0,0.657509034102781,1.00682620737837,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r003",1,"central",87,3,"gamma0",-5.1146993510625,-4.09,-1.0246993510625,1,3.2406497425,0,0.657509034102781,1.00682620737837,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r003",1,"central",87,3,"gamma1",0.325944685406548,-0.23,0.555944685406548,1,1.57221363175,0,0.657509034102781,1.00682620737837,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r003",1,"central",87,3,"gamma2",-1.93115986272664,-1.83,-0.101159862726644,1,2.1929398655,0,0.657509034102781,1.00682620737837,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r003",1,"central",87,3,"alpha",-1.37312067516875,-1.27,-0.10312067516875,1,0.6807973875,0,0.657509034102781,1.00682620737837,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r004",1,"central",87,4,"beta0",-2.256121604125,-2.07,-0.186121604125,1,0.939178275,0,0.589541477564401,1.00621379763009,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r004",1,"central",87,4,"beta1",-3.11998457953125,-3.56,0.44001542046875,1,1.5561550275,0,0.589541477564401,1.00621379763009,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r004",1,"central",87,4,"beta2",0.173335626895654,0.5,-0.326664373104346,1,0.7531527895,0,0.589541477564401,1.00621379763009,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r004",1,"central",87,4,"beta_bm",0.64607873114,0.61,0.03607873114,1,0.65777543625,0,0.589541477564401,1.00621379763009,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r004",1,"central",87,4,"sigma_y",1.78198868415625,1.81,-0.0280113158437501,1,0.165788765,0,0.589541477564401,1.00621379763009,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r004",1,"central",87,4,"tau0",1.05211789895625,0.97,0.0821178989562501,1,0.54642512575,0,0.589541477564401,1.00621379763009,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r004",1,"central",87,4,"tau1",2.113910020125,2.2,-0.0860899798750001,1,0.900701945,0,0.589541477564401,1.00621379763009,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r004",1,"central",87,4,"gamma0",-4.316835587,-4.09,-0.226835587,1,3.2126868875,0,0.589541477564401,1.00621379763009,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r004",1,"central",87,4,"gamma1",0.143636065122525,-0.23,0.373636065122525,1,1.5311524125,0,0.589541477564401,1.00621379763009,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r004",1,"central",87,4,"gamma2",-0.866022147523872,-1.83,0.963977852476128,1,2.30937448725,0,0.589541477564401,1.00621379763009,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r004",1,"central",87,4,"alpha",-1.32315763748437,-1.27,-0.053157637484375,1,0.74828142275,0,0.589541477564401,1.00621379763009,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r005",1,"central",87,5,"beta0",-2.16593393534375,-2.07,-0.0959339353437501,1,0.951473505,0,0.652181996106671,1.00752071817625,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r005",1,"central",87,5,"beta1",-3.35892215034375,-3.56,0.20107784965625,1,1.6127154025,0,0.652181996106671,1.00752071817625,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r005",1,"central",87,5,"beta2",0.491916922942828,0.5,-0.00808307705717187,1,0.73820569025,0,0.652181996106671,1.00752071817625,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r005",1,"central",87,5,"beta_bm",0.704140762112219,0.61,0.0941407621122188,1,0.7254654345,0,0.652181996106671,1.00752071817625,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r005",1,"central",87,5,"sigma_y",1.85285151775,1.81,0.04285151775,1,0.177018915,0,0.652181996106671,1.00752071817625,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r005",1,"central",87,5,"tau0",0.90756757320625,0.97,-0.0624324267937499,1,0.54157777175,0,0.652181996106671,1.00752071817625,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
