"dgm_tag","scen_id","label","tag","n","param","nrep","bias","bias_mcse","coverage","cov_mcse","ci_width","nfit","rate_bad","rate_marginal","max_rhat","min_ebfmi","tot_div","trajectory","floor_kind","err_family","re_family","informative"
"v1_legacy_legacy_hazard",2,"Correct specification, n=150","central",150,"gamma2",130,0.474491754497631,0.0400700627568553,0.892307692307692,0.0271880452456325,1.96822871881683,131,0.00763358778625954,0.122137404580153,1.65897921866951,3.35023256128861e-05,0,"quadratic","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",2,"Correct specification, n=150","central",150,"sigma_y",130,0.00513558487211533,0.00281218359436454,0.976923076923077,0.0131688381294119,0.130222836557692,131,0.00763358778625954,0.122137404580153,1.65897921866951,3.35023256128861e-05,0,"quadratic","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",2,"Correct specification, n=150","central",150,"tau0",130,-0.0148395720743509,0.00921209072064993,0.961538461538462,0.016866500371289,0.425824067580769,131,0.00763358778625954,0.122137404580153,1.65897921866951,3.35023256128861e-05,0,"quadratic","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",2,"Correct specification, n=150","central",150,"tau1",130,0.0492064607360575,0.0151240240184903,0.961538461538462,0.016866500371289,0.666491404134615,131,0.00763358778625954,0.122137404580153,1.65897921866951,3.35023256128861e-05,0,"quadratic","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",3,"Trajectory: monotone","misspec",150,"beta0",30,-0.0979958826633335,0.0346449728442026,0.933333333333333,0.0455420034042649,0.7726814055,30,0,0.933333333333333,1.02212241642358,0.517838983382724,0,"monotone","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",3,"Trajectory: monotone","misspec",150,"beta1",30,-0.0691715829449999,0.0523154652208897,1,0,1.37705038675,30,0,0.933333333333333,1.02212241642358,0.517838983382724,0,"monotone","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",3,"Trajectory: monotone","misspec",150,"beta_bm",30,-0.00941211694432033,0.0313563547222972,0.933333333333333,0.0455420034042649,0.583916733740833,30,0,0.933333333333333,1.02212241642358,0.517838983382724,0,"monotone","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",3,"Trajectory: monotone","misspec",150,"gamma0",30,-0.0526298838833335,0.108945194125005,1,0,2.5444417805,30,0,0.933333333333333,1.02212241642358,0.517838983382724,0,"monotone","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",3,"Trajectory: monotone","misspec",150,"gamma1",30,0.0326692329233645,0.0665897016202213,0.933333333333333,0.0455420034042649,1.26291728916067,30,0,0.933333333333333,1.02212241642358,0.517838983382724,0,"monotone","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",3,"Trajectory: monotone","misspec",150,"gamma2",30,0.669374685465388,0.0908066370621752,0.733333333333333,0.0807373427759331,1.9530667401925,30,0,0.933333333333333,1.02212241642358,0.517838983382724,0,"monotone","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",3,"Trajectory: monotone","misspec",150,"sigma_y",30,0.00280265047833326,0.0053942464767631,1,0,0.150717488333333,30,0,0.933333333333333,1.02212241642358,0.517838983382724,0,"monotone","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",3,"Trajectory: monotone","misspec",150,"tau0",30,-8.69015399995362e-06,0.0187094158605646,0.933333333333333,0.0455420034042649,0.444485831166667,30,0,0.933333333333333,1.02212241642358,0.517838983382724,0,"monotone","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",3,"Trajectory: monotone","misspec",150,"tau1",30,0.0409636162966664,0.0308952113877678,0.966666666666667,0.0327730693416725,0.7302893325,30,0,0.933333333333333,1.02212241642358,0.517838983382724,0,"monotone","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",4,"Trajectory: exponential","misspec",150,"beta0",30,-0.635880197805,0.0284623768971056,0.0666666666666667,0.0455420034042649,0.788046997083333,30,0,1,1.02406464739133,0.510074255058368,0,"exponential","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",4,"Trajectory: exponential","misspec",150,"beta_bm",30,-0.00535464607842015,0.0192210834420715,1,0,0.50504895925,30,0,1,1.02406464739133,0.510074255058368,0,"exponential","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",4,"Trajectory: exponential","misspec",150,"gamma0",30,-0.137421547983334,0.11482144537601,0.966666666666667,0.0327730693416725,2.77040047458333,30,0,1,1.02406464739133,0.510074255058368,0,"exponential","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",4,"Trajectory: exponential","misspec",150,"gamma1",30,-0.0814161529456293,0.0590721071602143,0.933333333333333,0.0455420034042649,1.23383265735117,30,0,1,1.02406464739133,0.510074255058368,0,"exponential","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",4,"Trajectory: exponential","misspec",150,"gamma2",30,0.686121991716165,0.0799989416697054,0.833333333333333,0.0680413817439772,1.9801481969825,30,0,1,1.02406464739133,0.510074255058368,0,"exponential","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",4,"Trajectory: exponential","misspec",150,"sigma_y",30,-0.00468985111000005,0.00586276580236694,0.933333333333333,0.0455420034042649,0.125082672583333,30,0,1,1.02406464739133,0.510074255058368,0,"exponential","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",4,"Trajectory: exponential","misspec",150,"tau0",30,0.409769974870333,0.0228910404635063,0.0666666666666667,0.0455420034042649,0.475406808225,30,0,1,1.02406464739133,0.510074255058368,0,"exponential","fixed","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",5,"Heterogeneous assay floor","misspec",150,"alpha",30,0.0317758663471667,0.019881846153701,1,0,0.538317530458333,30,0,0.933333333333333,1.01689082269405,0.505159044010275,0,"quadratic","heterogeneous","gaussian","gaussian",FALSE
"v1_legacy_legacy_hazard",5,"Heterogeneous assay floor","misspec",150,"beta0",30,-0.0324628265350002,0.0338842783935109,0.933333333333333,0.0455420034042649,0.7323323435,30,0,0.933333333333333,1.01689082269405,0.505159044010275,0,"quadratic","heterogeneous","gaussian","gaussian",FALSE
