dgm_tag,scen_id,label,n,param,nrep,bias,bias_mcse,coverage,cov_mcse,ci_width
v1_legacy_legacy_hazard,6,Heavy-tailed (t3) errors/RE,150,beta2,29,-0.2312,0.0271,0.655,0.088,0.578
v1_legacy_legacy_hazard,6,Heavy-tailed (t3) errors/RE,150,beta_bm,29,0.0334,0.0209,0.966,0.034,0.5
v1_legacy_legacy_hazard,6,Heavy-tailed (t3) errors/RE,150,gamma0,29,-0.0936,0.1083,0.966,0.034,2.353
v1_legacy_legacy_hazard,6,Heavy-tailed (t3) errors/RE,150,gamma1,29,0.1089,0.0569,0.897,0.057,1.192
v1_legacy_legacy_hazard,6,Heavy-tailed (t3) errors/RE,150,gamma2,29,0.313,0.0734,0.897,0.057,1.858
v1_legacy_legacy_hazard,6,Heavy-tailed (t3) errors/RE,150,sigma_y,29,-0.0837,0.0272,0.138,0.064,0.123
v1_legacy_legacy_hazard,6,Heavy-tailed (t3) errors/RE,150,tau0,29,-0.101,0.0266,0.724,0.083,0.414
v1_legacy_legacy_hazard,6,Heavy-tailed (t3) errors/RE,150,tau1,29,-0.1248,0.0641,0.621,0.09,0.612
v1_legacy_legacy_hazard,7,Informative monitoring,150,alpha,30,-0.0475,0.025,0.967,0.033,0.57
v1_legacy_legacy_hazard,7,Informative monitoring,150,beta0,30,-0.1065,0.0354,0.9,0.055,0.732
v1_legacy_legacy_hazard,7,Informative monitoring,150,beta1,30,0.401,0.0441,0.867,0.062,1.301
v1_legacy_legacy_hazard,7,Informative monitoring,150,beta2,30,-0.1277,0.0235,0.967,0.033,0.601
v1_legacy_legacy_hazard,7,Informative monitoring,150,beta_bm,30,-0.0052,0.0244,0.967,0.033,0.528
v1_legacy_legacy_hazard,7,Informative monitoring,150,gamma0,30,-0.2313,0.0952,0.967,0.033,2.476
v1_legacy_legacy_hazard,7,Informative monitoring,150,gamma1,30,0.0069,0.0528,0.967,0.033,1.224
v1_legacy_legacy_hazard,7,Informative monitoring,150,gamma2,30,0.2519,0.0838,0.9,0.055,2.006
v1_legacy_legacy_hazard,7,Informative monitoring,150,sigma_y,30,0.0017,0.0059,0.967,0.033,0.128
v1_legacy_legacy_hazard,7,Informative monitoring,150,tau0,30,-0.0257,0.0154,0.967,0.033,0.418
