"variable","mean","sd","q5","q95","rhat","ess_bulk"
"beta0",-2.0179126642125,0.216255948092138,-2.356013315,-1.653047475,1.00050803956124,4567.68971999403
"beta1",-4.030839137,0.434045989778937,-4.763953595,-3.33044177,1.00009129367723,4453.65362092854
"beta2",0.93964081666125,0.245933305282841,0.5471589415,1.35978216,1.00044530190529,5057.74971377827
"beta_bm",0.68653377953,0.120059593872938,0.487707697,0.8826870635,1.00087111716155,9129.04302316538
"sigma_y",1.6177667305625,0.0848795031211108,1.483495155,1.760462465,1.00128259724094,10454.8686080771
"tau0",1.0708000392975,0.136441748220931,0.8626657165,1.3081005,1.00220812892579,3152.37802941176
"tau1",2.3286393348,0.327547249081407,1.827163575,2.90350913,1.00172963770247,2580.21637822718
"sigma_zeta",6.428541763875,0.905271656368744,5.009366035,7.96878913,1.00055087497514,4885.1350372957
"sigma_thr",0.05665951945025,0.0390405378955972,0.0217756688,0.1304378855,1.00029988368644,2255.09746608595
