"analysis","n_intervals","observed_events","term","estimate","std_error","z_value","p_value","odds_ratio","aic"
"time_only",275,68,"(Intercept)",-1.68572157659189,0.220359987256339,-7.64985330404352,2.01208717932849e-14,0.185310667861098,297.676579348407
"time_only",275,68,"log1p(t_mid_years)",1.00727085762579,0.272061194285864,3.70236872726294,0.000213595884432349,2.73811809456633,297.676579348407
"time_gap",275,68,"(Intercept)",-1.96535582903233,0.25469684751955,-7.71645133488146,1.19613216953663e-14,0.140106023954123,292.841418935853
"time_gap",275,68,"log1p(t_mid_years)",0.524496305100879,0.333140693035749,1.57439879325879,0.115395282643897,1.68960758728592,292.841418935853
"time_gap",275,68,"log1p(gap_years)",1.30234800066154,0.503172943925489,2.58827112304829,0.00964590254772346,3.67792230115599,292.841418935853
"baseline_time",275,68,"(Intercept)",-2.49136510213874,0.305712315311057,-8.14937762518275,3.65801994929483e-16,0.0827968632188588,278.31848150847
"baseline_time",275,68,"baseline_log_mrd",-0.528652192102419,0.118134480574548,-4.47500331428485,7.64101274425199e-06,0.589398830971126,278.31848150847
"baseline_time",275,68,"log1p(t_mid_years)",0.773340869364969,0.28661412880435,2.69819520967464,0.00697165458750392,2.16699381714771,278.31848150847
"baseline_time_gap",275,68,"(Intercept)",-2.52469170468498,0.310921319235736,-8.12003406807493,4.66052836743612e-16,0.0800829981944832,279.710565545909
"baseline_time_gap",275,68,"baseline_log_mrd",-0.489434060110609,0.128300838299579,-3.81473781931023,0.000136327593446801,0.612973202025118,279.710565545909
"baseline_time_gap",275,68,"log1p(t_mid_years)",0.627191806098246,0.343352067535261,1.8266725772194,0.0677490137866208,1.87234528113499,279.710565545909
"baseline_time_gap",275,68,"log1p(gap_years)",0.447395387422587,0.572956735946797,0.780853700381543,0.434888545865714,1.5642326549511,279.710565545909
"complete_case_clinical",176,55,"(Intercept)",-2.89781346506482,0.774310035029267,-3.74244596346383,0.000182237728757047,0.0551436618764449,189.715640792066
"complete_case_clinical",176,55,"baseline_log_mrd",-0.415936322710961,0.17937351855802,-2.31882791871769,0.0204043687500234,0.659722278473109,189.715640792066
"complete_case_clinical",176,55,"log1p(t_mid_years)",2.24303716130987,0.61444380661905,3.65051634852028,0.000261713649641909,9.42190371737568,189.715640792066
"complete_case_clinical",176,55,"log1p(gap_years)",1.05709822133024,0.786027467786913,1.34486168060581,0.178669906913537,2.87800751983547,189.715640792066
"complete_case_clinical",176,55,"age",0.021776760310548,0.0141709541899002,1.53671799504289,0.124362382482399,1.0220156045558,189.715640792066
"complete_case_clinical",176,55,"sex_male",-0.0480680521405056,0.401234187044584,-0.119800489820087,0.904641193918313,0.953068926490082,189.715640792066
"complete_case_clinical",176,55,"duration_years",-0.262054826372176,0.11343465779369,-2.31018307340241,0.0208780207494458,0.769468835366323,189.715640792066
