"unit","n","observed_events","expected_events","observed_rate","mean_predicted","brier","intercept","slope"
"interval",275,68,68.0179446471236,0.247272727272727,0.247337980534995,0.082472676766685,0.511257556855532,1.78593500420055
"patient",87,68,50.5288536589177,0.781609195402299,0.58079142136687,0.124061853501051,3.05262658290096,3.01712967134118
