"variable","mean","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail"
"beta0",-2.0016210817,0.146050892108515,-2.28815931,-1.713298575,1.00117635495405,3248.56697484712,3089.87547967647
"beta1",-3.563283311575,0.284735498385708,-4.120903435,-3.011482645,1.00105714827284,2635.60110298067,2969.85136770794
"beta2",0.59611581832625,0.146364946472519,0.29785719875,0.87675030375,1.00122172342497,3272.9576258813,2839.68753282779
"beta_bm",0.7580312039625,0.0899268400101324,0.579146977,0.92791763975,1.00073450649978,4947.67358702856,3205.88182469682
"sigma_y",1.71475157795,0.0481793072279178,1.6229645325,1.81189046,1.00137792360854,4158.82910362758,2606.75803190688
"tau0",1.2024593572425,0.106693942936416,0.99263993,1.417297015,1.00711305213079,1347.86885423012,2294.36144450064
"tau1",2.08790290015,0.158276386874234,1.8019992875,2.425529195,1.00422271191389,1789.76826739678,2678.2668401828
"sigma_thr",0.60905188446,0.0861301391917177,0.44529514625,0.78361026425,1.00433307521919,1446.18191713231,2116.46771575336
