"bin","label","n","observed_events","expected_events","mean_predicted","observed_rate","observed_rate_lower_95","observed_rate_upper_95","brier"
1,"patient_1",17,2,2.48213122954571,0.146007719385042,0.117647058823529,0.0145793168403025,0.36440916210125,0.0944235461977803
2,"patient_2",17,13,6.43592649053882,0.378583911208166,0.764705882352941,0.50100672679542,0.931892259562643,0.326250062082008
3,"patient_3",18,18,10.8072438537025,0.600402436316806,1,0.814698031862148,1,0.164974439389625
4,"patient_4",17,17,13.9418360276456,0.82010800162621,1,0.804935677030907,1,0.0349324176267138
5,"patient_5",18,18,16.8617160574851,0.936762003193614,1,0.814698031862148,1,0.00436327250931379
