"metric","value"
"patients","87"
"visit_process_observed_visits","224"
"quadrature_nodes","2784"
"quadrature_nodes_per_patient","32"
"median_visit_process_visits_per_patient","2"
"median_time_window_months","14.23"
"dmr_event_patients","68"
"censored_patients","19"
"risk_window_definition","from treatment initiation to first documented DMR or censoring; excludes t=0 baseline visits"
