"bin","label","n","observed_events","expected_events","mean_predicted","observed_rate","observed_rate_lower_95","observed_rate_upper_95","brier"
1,"interval_1",55,0,0.106554736105905,0.00193735883828918,0,0,0.0648707608254246,5.21786739457783e-05
2,"interval_2",55,0,3.02080959115496,0.0549238107482719,0,0,0.0648707608254246,0.00330829917382846
3,"interval_3",55,5,7.55789315702333,0.137416239218606,0.0909090909090909,0.0301808678458132,0.199539615770501,0.0820511313206222
4,"interval_4",55,18,17.9964166217779,0.327207574941416,0.327272727272727,0.206808116867407,0.467071048235415,0.203580236977346
5,"interval_5",55,45,39.3362705410615,0.715204918928391,0.818181818181818,0.690951494780657,0.90920949333646,0.123371537687682
