"model_key","model","interval_n","interval_events","interval_brier","interval_observed_rate","interval_mean_predicted","interval_calibration_intercept","interval_calibration_slope","patient_n","patient_events","patient_brier","patient_observed_rate","patient_mean_predicted","patient_calibration_intercept","patient_calibration_slope","note","bootstrap_reps_requested","bootstrap_reps_used","validation_method","optimism_corrected_interval_brier","optimism_corrected_patient_brier","optimism_corrected_interval_calibration_intercept","optimism_corrected_interval_calibration_slope","optimism_corrected_patient_calibration_intercept","optimism_corrected_patient_calibration_slope","interval_brier_bootstrap_lcl","interval_brier_bootstrap_ucl","patient_brier_bootstrap_lcl","patient_brier_bootstrap_ucl"
"km_descriptive","Descriptive Kaplan--Meier",275,68,0.17249606231142,0.247272727272727,0.186677873753089,0.496527918505475,0.433486331441655,87,68,0.36167798705851,0.781609195402299,0.447015783231867,2.05945925874612,-0.123642716235562,"Uses first observed DMR visit time; descriptive because true DMR onset is interval-observed.",200,200,"patient-cluster bootstrap optimism correction with model refitting",0.181925482703027,0.369524533350656,NA,0.264023170382505,2.05984398085969,-0.150929405634317,NA,NA,NA,NA
"interval_timing_gap","Interval timing + visit gap",275,68,0.173713620829751,0.247272727272727,0.247272727272728,9.41636903502139e-09,0.99999997156458,87,68,0.290176445631333,0.781609195402299,0.539740447330604,1.27085387100365,-0.345128589458987,"Discrete-time interval model without longitudinal MRD.",200,200,"patient-cluster bootstrap optimism correction with model refitting",0.178260246171234,0.296185931198654,-0.0336283878348852,0.959710483615996,1.2350406281346,-0.35148498777253,NA,NA,NA,NA
"landmark_mrd","Landmark MRD",55,20,0.211261015593116,0.363636363636364,0.363636363636366,-8.9136552099257e-15,1,32,20,0.266953408698569,0.625,0.482791323546712,0.756240647705172,0.386867776594601,"Uses last observed MRD before 6-, 12-, or 18-month landmarks and scores only later intervals within 24 months.",200,200,"patient-cluster bootstrap optimism correction with model refitting",0.246392653828845,0.302883535594981,-0.091083278714388,0.64627427257056,0.705742591016117,0.189436838664342,NA,NA,NA,NA
"joint_exact_floor","Joint model, floor exact",275,68,0.0935013337222506,0.247272727272727,0.248243738152541,-0.00809313272028167,1.61703245955469,87,68,0.123332560553298,0.781609195402299,0.584449005812219,1.36014229282559,2.41906434060577,"Same joint interval structure as primary model, but assay-floor observations are treated as exact -5.0 values.",200,200,"patient-cluster bootstrap of fixed posterior predictions; no Stan refit",0.0935013337222506,0.123332560553298,-0.00809313272028167,1.61703245955469,1.36014229282559,2.41906434060577,0.0786303750631077,0.113411515463322,0.093419318705589,0.157843812158189
"joint_left_censored","Primary joint model",275,68,0.0817624466789578,0.247272727272727,0.246967646965498,0.00274127609824246,1.78400580723978,87,68,0.116348669976772,0.781609195402299,0.597139657931165,1.3288104930222,2.8162069509372,"Renewed primary Bayesian joint longitudinal--interval model with left-censored assay-floor likelihood.",200,200,"patient-cluster bootstrap of fixed posterior predictions; no Stan refit",0.0817624466789578,0.116348669976772,0.00274127609824246,1.78400580723978,1.3288104930222,2.8162069509372,0.065263132424967,0.101213864335767,0.0840086458958921,0.152095120916784
