n,estimator,parameter,true,mean_est,bias,rel_bias_pct,empSD,rmse
87,floor,b1,-3.561,-2.7948646253116074,0.7661353746883925,21.514613161707178,0.4489174164732764,0.8851282890020176
87,floor,tau1,2.203,2.1054279048019175,-0.0975720951980823,-4.42905561498331,0.3002746853535179,0.31213951729778455
87,floor,sigma,1.813,1.7276268380505322,-0.08537316194946776,-4.708944398757184,0.08475204048298894,0.119548786853441
87,exact,b1,-3.561,-2.4413457700145935,1.1196542299854064,31.442129457607596,0.3317871770312014,1.166600298857963
87,exact,tau1,2.203,0.9734847267052293,-1.2295152732947705,-55.81095203335318,0.1918692680237999,1.2440262368120711
87,exact,sigma,1.813,1.1728109018188255,-0.6401890981811744,-35.31103685500135,0.05793003033582559,0.6427395060476424
150,floor,b1,-3.561,-2.878620567085511,0.6823794329144888,19.162578851853095,0.38499625109395824,0.7811262708341024
150,floor,tau1,2.203,2.064382210395047,-0.13861778960495297,-6.292228307079118,0.23183425642221198,0.267616023407665
150,floor,sigma,1.813,1.7512561103210964,-0.06174388967890354,-3.4056199491949,0.06383981652530996,0.08823798520091133
150,exact,b1,-3.561,-2.4514011827069657,1.1095988172930342,31.15975336402792,0.2703693414252217,1.1412631714908004
150,exact,tau1,2.203,0.9690444895353304,-1.2339555104646696,-56.01250614909984,0.14430493626513238,1.2421551910171469
150,exact,sigma,1.813,1.1951779504850646,-0.6178220495149354,-34.0773331227212,0.04474653051287189,0.6193999358733833
300,floor,b1,-3.561,-3.0206826672972484,0.5403173327027515,15.173191033494849,0.3117840866048075,0.621869683906934
300,floor,tau1,2.203,2.120270806735811,-0.0827291932641887,-3.755297016077563,0.13935077251330769,0.1605530793015123
300,floor,sigma,1.813,1.7441147880981702,-0.06888521190182972,-3.7995152731290527,0.04340908140246549,0.0811320655367574
300,exact,b1,-3.561,-2.510174715011162,1.050825284988838,29.509275062871048,0.2649847680465258,1.0829105612589285
300,exact,tau1,2.203,0.9577257692803031,-1.245274230719697,-56.52629281523818,0.11591511674570265,1.2505232169485894
300,exact,sigma,1.813,1.1926893567236068,-0.6203106432763932,-34.214596981599186,0.03986015120849198,0.6215580463842274
