"gap_group","n","observed_events","expected_events","observed_rate","mean_predicted","brier"
"<=6 months",173,35,29.721345523769,0.202312138728324,0.171799685108492,0.0835314259330087
"6-12 months",65,17,20.5719665436599,0.261538461538462,0.316491792979383,0.0861970525438896
">12 months",37,16,17.7246325796947,0.432432432432432,0.479044123775531,0.0709794867317576
