"variable","mean","sd","q5","q95","rhat","ess_bulk","ess_tail","truth"
"beta0",-2.0016210817,0.146050892108515,-2.245105225,-1.76235158,1.00117635495405,3248.56697484712,3089.87547967647,-2.074
"beta1",-3.563283311575,0.284735498385708,-4.04428812,-3.087425105,1.00105714827284,2635.60110298067,2969.85136770794,-3.561
"beta2",0.59611581832625,0.146364946472519,0.3491493455,0.8402059875,1.00122172342497,3272.9576258813,2839.68753282779,0.502
"beta_bm",0.7580312039625,0.0899268400101324,0.6071868435,0.900834677,1.00073450649978,4947.67358702856,3205.88182469682,0.607
"sigma_y",1.71475157795,0.0481793072279178,1.63753039,1.79562595,1.00137792360854,4158.82910362758,2606.75803190688,1.813
"tau0",1.2024593572425,0.106693942936416,1.02844911,1.38084303,1.00711305213079,1347.86885423012,2294.36144450064,0.968
"tau1",2.08790290015,0.158276386874234,1.844778805,2.359346645,1.00422271191389,1789.76826739678,2678.2668401828,2.203
"sigma_thr",0.60905188446,0.0861301391917177,0.470658975,0.7491011535,1.00433307521919,1446.18191713231,2116.46771575336,0.2
