"scen","n","estimator","nrep","bias_beta1","rmse_beta1","bias_tau1","rmse_tau1","bias_sigma","brier","mean_pred","obs_rate"
"ni_n150",150,"exact",100,1.304856982,1.32698819974337,6.072395699,6.09573003723652,-0.67822115,0.0730856527078476,0.681090537148977,0.794333333333333
"ni_n300",300,"exact",100,1.138029169,1.14945981801034,8.217341218,8.23232305457406,-0.66757917,0.060607668019327,0.696365937446873,0.796833333333333
"ni_n87",87,"exact",100,1.447512083,1.46830855271366,4.729501528,4.76036554264499,-0.6891801577,0.0879917758054981,0.67717685426133,0.808045977011494
"inf_n150",150,"floor",100,1.68123748,1.69483358606041,11.231627081,11.3221943417812,-0.354856835,0.0444058841889221,0.47822415421168,0.505666666666667
"ni_n150",150,"floor",100,1.440173769,1.45268975661803,11.70078908,11.7406408571792,-0.291755673,0.044983114076838,0.715508973299132,0.794333333333333
"ni_n300",300,"floor",100,1.228862584,1.2360926727629,16.11338803,16.1486869473353,-0.272507749,0.0341450349831979,0.729945983347225,0.796833333333333
"ni_n87",87,"floor",100,1.591211531,1.60156965122158,9.006803361,9.06809503277205,-0.295219646,0.0551663668466454,0.716809353120977,0.808045977011494
