"scen","n","informative","estimator","rep","beta1","sigma_y","tau1","alpha","brier","mean_pred","obs_rate","se_beta1","se_tau1"
"ni_n87",87,FALSE,"floor",37,-1.9884936,1.5239825,11.809114,-2.212056,0.0582693574037086,0.706397475802846,0.781609195402299,NA,NA
"ni_n87",87,FALSE,"floor",38,-1.5132793,1.5592541,9.7755555,-2.7919907,0.0326361286153823,0.68361174009357,0.770114942528736,NA,NA
"ni_n87",87,FALSE,"floor",39,-1.9727231,1.4707309,11.842427,-2.3815088,0.0362936585525618,0.703064622869842,0.781609195402299,NA,NA
"ni_n87",87,FALSE,"floor",40,-2.1195168,1.5433742,10.437395,-2.440857,0.032310132327506,0.731948385391531,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"floor",41,-1.6541115,1.5702761,12.176177,-1.9977573,0.0574465467521028,0.697098597858138,0.793103448275862,NA,NA
"ni_n87",87,FALSE,"floor",42,-1.82672,1.4593653,10.30143,-2.2593503,0.0629464126009726,0.712921011090751,0.839080459770115,NA,NA
"ni_n87",87,FALSE,"floor",43,-1.8778325,1.4955205,10.815742,-2.3860638,0.044694037589127,0.732127752581998,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"floor",44,-2.0104242,1.4840711,10.524894,-2.3414871,0.0480667867028658,0.700652441393455,0.781609195402299,NA,NA
"ni_n87",87,FALSE,"floor",45,-2.0429775,1.5376093,11.936903,-2.5569554,0.0444441455790115,0.716567677289004,0.793103448275862,NA,NA
"ni_n87",87,FALSE,"floor",46,-1.6488209,1.5276379,11.952103,-2.4295037,0.0314721124091924,0.704550311904814,0.770114942528736,NA,NA
"ni_n87",87,FALSE,"floor",47,-1.7266744,1.532836,12.059238,-1.9158024,0.0759377515057064,0.709758710034043,0.816091954022989,NA,NA
"ni_n87",87,FALSE,"floor",48,-1.8810789,1.5832512,11.901643,-2.3710368,0.0502611103804061,0.746003984202025,0.816091954022989,NA,NA
"ni_n87",87,FALSE,"floor",49,-1.9127973,1.4541949,13.331695,-2.3423956,0.062726778726387,0.73772957196902,0.827586206896552,NA,NA
"ni_n87",87,FALSE,"floor",50,-1.973401,1.3670045,12.641079,-1.7783612,0.0968743159106068,0.613465497490969,0.735632183908046,NA,NA
"ni_n87",87,FALSE,"floor",51,-1.9824478,1.730102,12.069602,-2.5009861,0.0402537530609943,0.763907401997212,0.839080459770115,NA,NA
"ni_n87",87,FALSE,"floor",52,-1.6253553,1.5992984,10.0909,-2.5407564,0.0467409435290768,0.743186105053415,0.839080459770115,NA,NA
"ni_n87",87,FALSE,"floor",53,-1.5548019,1.5777871,10.579886,-2.4340034,0.0491374595290621,0.654473838435091,0.735632183908046,NA,NA
"ni_n87",87,FALSE,"floor",54,-2.4206436,1.4664622,11.489793,-1.8582679,0.0889171169826849,0.746703851793739,0.873563218390805,NA,NA
"ni_n87",87,FALSE,"floor",55,-1.9875776,1.4544067,9.9706813,-2.2800366,0.0661514509534881,0.659858481521682,0.747126436781609,NA,NA
"ni_n87",87,FALSE,"floor",56,-1.9159414,1.4449846,14.482193,-2.368791,0.0599604138615168,0.661445651937109,0.735632183908046,NA,NA
"ni_n87",87,FALSE,"floor",57,-2.1873617,1.4486291,11.214112,-2.385377,0.0490505572067069,0.755230212561504,0.816091954022989,NA,NA
"ni_n87",87,FALSE,"floor",58,-1.9051084,1.5938763,13.181313,-2.4140458,0.0507594090411317,0.706060162857772,0.793103448275862,NA,NA
"ni_n87",87,FALSE,"floor",59,-1.8638933,1.4900529,10.75017,-2.5292571,0.0328461615663481,0.700043757716122,0.758620689655172,NA,NA
"ni_n87",87,FALSE,"floor",60,-1.4326178,1.6437147,11.481202,-2.488877,0.0538740956583819,0.71210030189133,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"floor",61,-2.0567511,1.6181005,13.513329,-2.8005211,0.0222284885173154,0.733383636209408,0.781609195402299,NA,NA
"ni_n87",87,FALSE,"floor",62,-2.0777423,1.5076479,10.696463,-2.263772,0.0744530223776766,0.699734985836605,0.793103448275862,NA,NA
"ni_n87",87,FALSE,"floor",63,-1.9707689,1.4910064,9.4691326,-2.6483119,0.0550106084499725,0.62876138279332,0.701149425287356,NA,NA
"ni_n87",87,FALSE,"floor",64,-1.8369966,1.5572202,10.861816,-2.1333734,0.0641750203493106,0.668522326020273,0.758620689655172,NA,NA
"ni_n87",87,FALSE,"floor",65,-1.7392362,1.4240636,10.312003,-2.4469957,0.0511060160392042,0.707394576433161,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"floor",66,-2.0415892,1.5042714,9.4196846,-2.3943381,0.0545516320460147,0.699646586687953,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"floor",67,-1.9582835,1.5559887,9.6156764,-2.1554949,0.0619168706569481,0.758337474426285,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"floor",68,-1.8796428,1.4785858,11.40367,-2.1868067,0.0546068863508088,0.747219354097786,0.839080459770115,NA,NA
"ni_n87",87,FALSE,"floor",69,-2.1305875,1.5178545,11.197754,-2.0088471,0.069474283931148,0.722093111809295,0.839080459770115,NA,NA
"ni_n87",87,FALSE,"floor",70,-2.2903541,1.7184011,11.039335,-2.6307136,0.0467388121975393,0.785343986978779,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"floor",71,-1.9532877,1.6959359,11.822985,-2.5828609,0.0331248046355366,0.789132096518177,0.873563218390805,NA,NA
"ni_n87",87,FALSE,"floor",72,-1.9312438,1.352017,11.012236,-2.3868249,0.0459163178420947,0.786914673464498,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"floor",73,-1.8822638,1.3728289,9.6942505,-2.3066854,0.0598503711208011,0.621122590031629,0.701149425287356,NA,NA
"ni_n87",87,FALSE,"floor",74,-2.1133313,1.4180455,10.432386,-2.1352798,0.0691886075300882,0.694062350495201,0.781609195402299,NA,NA
"ni_n87",87,FALSE,"floor",75,-2.2239127,1.4338336,10.865153,-2.4668015,0.0372739972769205,0.670932145068945,0.758620689655172,NA,NA
"ni_n87",87,FALSE,"floor",76,-2.1127153,1.5804148,12.209702,-2.4280428,0.0593298896652449,0.710200384749788,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"floor",77,-1.8544128,1.5462332,11.6278,-2.5014782,0.0382556571748944,0.768002308088202,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"floor",78,-2.0990434,1.5677886,9.3434838,-2.4207284,0.0426431874303228,0.724269087451435,0.816091954022989,NA,NA
"ni_n87",87,FALSE,"floor",79,-2.2134396,1.5474404,11.346848,-1.9538409,0.0687193646351762,0.691602909772936,0.816091954022989,NA,NA
"ni_n87",87,FALSE,"floor",80,-2.1262795,1.572386,12.952685,-2.3644658,0.051899522977364,0.735413473729749,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"floor",81,-2.1715581,1.5174205,12.727826,-2.267648,0.0497446801179461,0.76364682170566,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"floor",82,-1.8427086,1.6830634,9.058321,-2.6770279,0.0332453602828874,0.736867163238806,0.816091954022989,NA,NA
"ni_n87",87,FALSE,"floor",83,-1.9306731,1.5199827,10.877131,-2.0628656,0.0560073396860037,0.671991416810987,0.758620689655172,NA,NA
"ni_n87",87,FALSE,"floor",84,-2.027203,1.3776199,10.501378,-2.5075304,0.0549688401240174,0.720758492285417,0.793103448275862,NA,NA
"ni_n87",87,FALSE,"floor",85,-1.9999403,1.5525936,10.612957,-2.4613552,0.0571903656432604,0.678843196049409,0.770114942528736,NA,NA
"ni_n87",87,FALSE,"floor",86,-1.8238083,1.548058,12.645474,-2.4288604,0.0474875847259539,0.702501775249195,0.781609195402299,NA,NA
"ni_n87",87,FALSE,"floor",87,-2.1369618,1.5215065,11.343609,-2.4085879,0.0422824702787784,0.760527360911076,0.827586206896552,NA,NA
"ni_n87",87,FALSE,"floor",88,-1.888459,1.5248066,11.690779,-2.1102218,0.056624123805906,0.719471101644106,0.839080459770115,NA,NA
"ni_n87",87,FALSE,"floor",89,-1.974304,1.480026,10.339107,-2.5468424,0.052104197142775,0.722143369736835,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"floor",90,-2.3141185,1.52353,11.643308,-2.3565974,0.0534741439298529,0.778892824723855,0.885057471264368,NA,NA
"ni_n87",87,FALSE,"floor",91,-1.8748344,1.4025095,10.96757,-2.2032476,0.0712413589118603,0.694103422943099,0.770114942528736,NA,NA
"ni_n87",87,FALSE,"floor",92,-1.9830086,1.4776002,12.218084,-2.1835036,0.055837791110353,0.704368121972194,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"floor",93,-2.0358905,1.5400763,10.891182,-2.2209577,0.0403698670548526,0.756851708482674,0.850574712643678,NA,NA
"ni_n87",87,FALSE,"floor",94,-2.003433,1.3547766,11.629896,-1.8997709,0.0666246896177379,0.740219182266565,0.850574712643678,NA,NA
"ni_n87",87,FALSE,"floor",95,-1.9259878,1.4715043,12.434612,-1.7288367,0.0839702629998208,0.699593724976206,0.839080459770115,NA,NA
"ni_n87",87,FALSE,"floor",96,-2.1203323,1.5789464,12.067642,-2.5093038,0.0517837698886985,0.728389374997821,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"floor",97,-1.7834412,1.4036313,11.004326,-2.1329477,0.0538974193928584,0.704295991522277,0.793103448275862,NA,NA
"ni_n87",87,FALSE,"floor",98,-1.8714743,1.604166,11.547207,-2.3514015,0.0454367394811373,0.6781025379825,0.758620689655172,NA,NA
"ni_n87",87,FALSE,"floor",99,-1.8758313,1.4623258,12.274241,-2.0273519,0.0536669692397141,0.718886502209046,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"floor",100,-1.6699752,1.6125046,10.798887,-2.2855275,0.0621204929399445,0.664493088541808,0.758620689655172,NA,NA
"ni_n87",87,FALSE,"exact",1,-2.345837,1.1489826,6.4176316,-2.3349628,0.0893551263580668,0.684080918879419,0.850574712643678,NA,NA
"ni_n87",87,FALSE,"exact",2,-2.220907,1.0569848,6.3548768,-2.2583012,0.10501871121958,0.707503633153944,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"exact",3,-2.0331628,1.0351877,7.3806325,-2.1985277,0.103532655175584,0.681654039305279,0.816091954022989,NA,NA
"ni_n87",87,FALSE,"exact",4,-2.5141917,1.115015,6.7807665,-1.9704578,0.116367813052692,0.617305101455942,0.758620689655172,NA,NA
"ni_n87",87,FALSE,"exact",5,-2.4191201,1.069537,6.6642126,-2.8133542,0.0708608834061003,0.750201411305905,0.850574712643678,NA,NA
"ni_n87",87,FALSE,"exact",6,-2.3581355,1.0929757,5.7750027,-2.3120546,0.109780413535677,0.707230941783305,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"exact",7,-2.0123767,1.158753,7.7154298,-1.8709357,0.135275809009593,0.663800902545793,0.850574712643678,NA,NA
"ni_n87",87,FALSE,"exact",8,-2.2329716,1.066361,7.0885265,-2.2740833,0.107134994613797,0.684699944547968,0.827586206896552,NA,NA
"ni_n87",87,FALSE,"exact",9,-2.2157225,1.0185035,7.3917447,-2.0733016,0.0861445444484602,0.670374910383199,0.816091954022989,NA,NA
"ni_n87",87,FALSE,"exact",10,-2.0758178,1.1916162,6.177217,-2.5890639,0.0875461113219924,0.729026095795305,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"exact",11,-1.8323957,1.2136067,6.8708841,-2.8321198,0.0710817320279969,0.711713597293834,0.827586206896552,NA,NA
"ni_n87",87,FALSE,"exact",12,-2.4407072,1.1164817,6.2573794,-2.6543663,0.0843751095006745,0.698085960805708,0.793103448275862,NA,NA
"ni_n87",87,FALSE,"exact",13,-1.518403,1.1666261,7.2801009,-2.7021934,0.0779403620986187,0.725222318635425,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"exact",14,-1.9634634,1.098127,7.2417438,-2.4686962,0.0696457045626758,0.668893679941727,0.781609195402299,NA,NA
"ni_n87",87,FALSE,"exact",15,-1.9733262,1.1260568,6.1790984,-2.4758479,0.0785170968051901,0.684216120893141,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"exact",16,-2.1375477,1.1569088,7.1423012,-2.3337626,0.083837823071886,0.621346760404268,0.770114942528736,NA,NA
"ni_n87",87,FALSE,"exact",17,-2.3090672,1.2117751,6.7967619,-2.7866316,0.0597079861650138,0.724859804050058,0.839080459770115,NA,NA
"ni_n87",87,FALSE,"exact",18,-2.2858532,1.142943,6.7635776,-2.5403965,0.120320850856603,0.689598956323703,0.839080459770115,NA,NA
"ni_n87",87,FALSE,"exact",19,-1.9111374,1.2122935,6.6165999,-2.6866969,0.0598949143062878,0.728867353436626,0.839080459770115,NA,NA
"ni_n87",87,FALSE,"exact",20,-1.6640957,1.1231899,5.7616228,-2.5612089,0.0709878885518715,0.671909797997238,0.793103448275862,NA,NA
"ni_n87",87,FALSE,"exact",21,-2.2366527,1.0619955,6.1481978,-2.1894735,0.104811262128921,0.672145214593098,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"exact",22,-2.2819182,1.0818663,6.2174502,-2.2342739,0.110120826547729,0.643430124907134,0.781609195402299,NA,NA
"ni_n87",87,FALSE,"exact",23,-2.6009528,1.0251783,6.9766345,-2.2468416,0.0905297395580248,0.682059005102979,0.816091954022989,NA,NA
"ni_n87",87,FALSE,"exact",24,-2.4018118,1.1736504,7.246037,-2.2903689,0.0832662518019719,0.71210048504573,0.850574712643678,NA,NA
"ni_n87",87,FALSE,"exact",25,-2.0212068,1.1162365,6.9652132,-2.5505155,0.0742040461028999,0.674882931887547,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"exact",26,-1.9974072,0.9917368,7.2560105,-2.7008666,0.0616901197923684,0.69234830452266,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"exact",27,-2.1786009,1.0483838,6.6042092,-2.313035,0.107883011768851,0.638081895182651,0.758620689655172,NA,NA
"ni_n87",87,FALSE,"exact",28,-2.2808408,1.1167973,7.30604,-2.1379704,0.1138147483187,0.642746519342713,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"exact",29,-2.1449983,1.1364534,8.2868363,-2.5433803,0.0842415201149305,0.707800160284739,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"exact",30,-1.9232306,1.1569585,7.2630765,-2.5166185,0.0758981271482184,0.62174275869674,0.71264367816092,NA,NA
"ni_n87",87,FALSE,"exact",31,-2.1778222,1.0921551,6.2924197,-2.1936062,0.0823864855762778,0.70127955334407,0.850574712643678,NA,NA
"ni_n87",87,FALSE,"exact",32,-1.8951476,1.1166131,6.3794669,-2.5911366,0.076494617275432,0.678837266626356,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"exact",33,-2.4217991,1.0603146,6.4543664,-2.4738151,0.075550129060669,0.752533722034691,0.896551724137931,NA,NA
"ni_n87",87,FALSE,"exact",34,-1.9330624,1.1742121,6.6878549,-2.2525249,0.0949421248965631,0.611448925137425,0.770114942528736,NA,NA
"ni_n87",87,FALSE,"exact",35,-2.2216029,1.0630228,6.576928,-2.375238,0.099565134225005,0.659822672570631,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"exact",36,-2.1028699,1.2567874,7.3917339,-2.0528121,0.111134180927117,0.680527757051335,0.816091954022989,NA,NA
"ni_n87",87,FALSE,"exact",37,-2.046948,1.1035358,7.8843687,-2.43861,0.092424868983962,0.668930869571169,0.781609195402299,NA,NA
"ni_n87",87,FALSE,"exact",38,-1.5419295,1.1909294,6.72494,-2.5535252,0.0711013847804376,0.638643526418174,0.770114942528736,NA,NA
"ni_n87",87,FALSE,"exact",39,-2.211842,1.0973415,6.8979839,-2.6729971,0.0544946005118657,0.668508824784966,0.781609195402299,NA,NA
"ni_n87",87,FALSE,"exact",40,-2.1919994,1.1696555,7.5679016,-2.6863496,0.0521833278244877,0.705863152811302,0.804597701149425,NA,NA
